,username,reposted_username
82,BobbieTrussell,Moyne897
111,DindaP1805,DiamTetap
15,OiCoffe,Moyne897
6714,Moyne897,BobbieTrussell
7042,refaabdi,DindaP1805
7052,infosweger86,DindaP1805
7053,SuciAzz36839148,DindaP1805
7054,rekodarabima76,DindaP1805
7055,menteriwidura,DindaP1805
7296,sulas3lagi,OiCoffe
7297,refaabdi,OiCoffe
7301,suroboyo_cok,OiCoffe
7304,Kalangan13awah,OiCoffe
9702,maryshelparaiso,DiamTetap
9703,refaabdi,DiamTetap
23259,DiamTetap,DindaP1805
23261,DiamTetap,rekodarabima76
23262,DiamTetap,SuciAzz36839148
