username,reposted_username
DeccanHerald,Verma90Ankit
DeccanHerald,Orionis57
DeccanHerald,humansrcrazie
DeccanHerald,birdseyeview
DeccanHerald,1animeshkumar
DeccanHerald,infantraj47
DeccanHerald,t_hitesh
DeccanHerald,tvikr
DeccanHerald,Guesswhooa5
DeccanHerald,rajoorag
DeccanHerald,Seprabakar
DeccanHerald,RPrasad74799171
DeccanHerald,KalOsterman
DeccanHerald,janmejay4150
DeccanHerald,impartialcontra
DeccanHerald,BobSacamaano
DeccanHerald,chetan_naik
DeccanHerald,hanmireddy
DeccanHerald,VivekBaliga
DeccanHerald,AbdulQeeyal
DeccanHerald,voltaire0530
DeccanHerald,Sara_it_is
DeccanHerald,Urmilchheda1
DeccanHerald,5minsaloneok
DeccanHerald,RaajeshSahu
DeccanHerald,ramakrish_
DeccanHerald,pradeepbelagal
DeccanHerald,Second__handled
DeccanHerald,anushabhatt15
DeccanHerald,immazharkhan
DeccanHerald,lefty_here_
DeccanHerald,deosatya
DeccanHerald,Umar_alamm
DeccanHerald,srvdk96
DeccanHerald,bored2core
DeccanHerald,arsh11kaur
DeccanHerald,yash_afroz
DeccanHerald,Khwajasultan1
DeccanHerald,_Zalama
DeccanHerald,sunilho
DeccanHerald,SanikaPalande
DeccanHerald,tahirjournalis3
DeccanHerald,cashifcan
DeccanHerald,WasifRa75884500
DeccanHerald,AbhinavCJ
DeccanHerald,Aashish_Yadav17
DeccanHerald,ConnectwithJaya
DeccanHerald,bhaagirathan
DeccanHerald,fundamentalisst
DeccanHerald,faridurc
DeccanHerald,manohr
DeccanHerald,HussanSham15322
DeccanHerald,MJavedInbox
DeccanHerald,UntergrundmannG
DeccanHerald,WajadMujawar
DeccanHerald,Mystayl79017139
DeccanHerald,ahmedvindhani
DeccanHerald,nijamkhan830769
DeccanHerald,Amaljacobmohan1
DeccanHerald,Mohdarhamuddin
DeccanHerald,mdmaroofansar14
DeccanHerald,sanjay0864
DeccanHerald,MohdSoh98194432
DeccanHerald,imfaiyazfaizaan
DeccanHerald,MeAdnanSiddiqui
DeccanHerald,RakeshP08497984
DeccanHerald,mannanamir10
DeccanHerald,Aimim_Sai_Kumar
DeccanHerald,Shaikh_ar76
DeccanHerald,rubusmubu
DeccanHerald,mdkaif223871031
DeccanHerald,rashidtyagi123
DeccanHerald,hammad54643041
DeccanHerald,samhussain7890
DeccanHerald,SMOShaikOmer786
DeccanHerald,AshikRa16867015
DeccanHerald,JS73p7u5kKCHW8d
DeccanHerald,aqurab
DeccanHerald,DaanishRumani
DeccanHerald,Fasiudd78410876
DeccanHerald,faizanahmed338
DeccanHerald,MdDilsh95198112
DeccanHerald,CShahnawazAhmad
DeccanHerald,abdulba87191616
DeccanHerald,iqrarkh65298277
DeccanHerald,rahulbhardwaj
DeccanHerald,Ashwak3105
DeccanHerald,asadowaisi
DeccanHerald,SarcasticQuark
DeccanHerald,TROD07284517
DeccanHerald,harmeetmehta
DeccanHerald,golubeerji
DeccanHerald,aviralsan
DeccanHerald,Kiuaar
DeccanHerald,DanHusain
DeccanHerald,DilliDurAst
DeccanHerald,MerrilD
DeccanHerald,sarvarta
DeccanHerald,GarvSeSecular
DeccanHerald,akashSugmar
DeccanHerald,RikkiAxl
DeccanHerald,naanesunil
DeccanHerald,krisna_tweets
DeccanHerald,RaviKrishnappa3
DeccanHerald,haseenparee_
DeccanHerald,RahulRs488
DeccanHerald,Ishcomic
DeccanHerald,lee160_
DeccanHerald,bspassanha
DeccanHerald,pratiknmodi
DeccanHerald,khadeersik11
DeccanHerald,ImMrfazal
DeccanHerald,DeepakDas09
DeccanHerald,jac89888
DeccanHerald,balaji12_k
DeccanHerald,vishaal_zade
DeccanHerald,shashi2518
DeccanHerald,Shakeel37928116
DeccanHerald,SaiNagendra_
DeccanHerald,AkankshaDureja
DeccanHerald,imarun777
DeccanHerald,KamalnathE
DeccanHerald,MuraliK33310726
DeccanHerald,DrSharathTR8
DeccanHerald,kabeerakhan
DeccanHerald,sashabeebaba
DeccanHerald,yes_indiya
DeccanHerald,Saadeen_
DeccanHerald,DrSwami_Iyer
DeccanHerald,DrGauravNarula
DeccanHerald,drpraveenks
DeccanHerald,vijayprakashu8
DeccanHerald,shmira21
DeccanHerald,shobhanasachi
DeccanHerald,jusbarath
DeccanHerald,bharathjoshi
DeccanHerald,Greenenthu1
DeccanHerald,ShabeehRahat
DeccanHerald,sheldonsavio000
DeccanHerald,MickieMerchant
DeccanHerald,priya25143
DeccanHerald,Swagatsarangi07
DeccanHerald,HussainNooree
DeccanHerald,sukugkailash
DeccanHerald,gladeolie
DeccanHerald,Shankar17399168
