username,reposted_username
jabinjacobt,DeccanHerald
ICAC_cat,jabinjacobt
ethrelkeld,jabinjacobt
ShivNadarUniv,jabinjacobt
Himalayas_SNU,jabinjacobt
aadilbrar,jabinjacobt
avasudeva_87,jabinjacobt
TheIndiaForum,jabinjacobt
Diplomat_APAC,jabinjacobt
nicoblar,jabinjacobt
shemin_joy,DeccanHerald
sivaetb,DeccanHerald
sudhirjourno,DeccanHerald
visually_kei,DeccanHerald
RashmiBelur,DeccanHerald
aruproytweets,DeccanHerald
MBTheGuide,DeccanHerald
DeccanHerald,samirwrites
DeccanHerald,banota_amit
DeccanHerald,Blue_Tsunami_
DeccanHerald,amey_dabir
DeccanHerald,nav_she
DeccanHerald,Wolveri42714065
DeccanHerald,nitinkumarm2
DeccanHerald,KuriousSAZ
DeccanHerald,sd_israr
DeccanHerald,sockpup9
DeccanHerald,ch0c0latem00n
DeccanHerald,vinashkali
DeccanHerald,logicmania1
DeccanHerald,slayfascism
DeccanHerald,freedomfromknow
DeccanHerald,KPVishnuVardha1
DeccanHerald,gautam_an_INTJ
DeccanHerald,mota_aloo
DeccanHerald,patkigopal
DeccanHerald,anil_bilgi
DeccanHerald,ShowanWasim
DeccanHerald,hrushikesha
DeccanHerald,TheRedDagger47
DeccanHerald,KhaisuanKs
DeccanHerald,SamrajDavid1
DeccanHerald,sachinchat
DeccanHerald,ShaliniElassery
DeccanHerald,profvivekvkumar
DeccanHerald,Whybavvy
DeccanHerald,Southie68382458
DeccanHerald,BadassDalit
DeccanHerald,Shavush
DeccanHerald,kangkan_baruahh
DeccanHerald,shamitb
DeccanHerald,IrfanPathan1612
DeccanHerald,AipcNorth
DeccanHerald,tf_zain19
DeccanHerald,travscifibeast
DeccanHerald,just_mohit
DeccanHerald,trimendiratta
DeccanHerald,sankulyaa
DeccanHerald,swastik69420
DeccanHerald,igniavija03
DeccanHerald,chezephyr
DeccanHerald,shishupalrozen
DeccanHerald,vishkalra
DeccanHerald,stockastica
DeccanHerald,Harveen_A
DeccanHerald,samar11
DeccanHerald,ratanlalgupta2
DeccanHerald,rohitbhota
DeccanHerald,ArunTikmani
DeccanHerald,save_our_mumbai
DeccanHerald,palakkumar
DeccanHerald,rajeshlele
DeccanHerald,micver49
DeccanHerald,linus_aniar
DeccanHerald,KKsrinivasan_BL
DeccanHerald,Mnj477
DeccanHerald,Debsfornow
DeccanHerald,MiraMeeraN
DeccanHerald,Markwyn1994
DeccanHerald,GuruMadappa
DeccanHerald,PrasunKaliB
DeccanHerald,jasmvk
DeccanHerald,praveen4vr
DeccanHerald,jarideg215
DeccanHerald,thenewregime202
DeccanHerald,mitesh123mehul
DeccanHerald,rajan_sm7
DeccanHerald,humnivesh
DeccanHerald,vensu1081991
DeccanHerald,imafeministvkf
DeccanHerald,ChoudhurySam1
DeccanHerald,snehalmdr
